Receiver_1_inlet_temp,Receiver_2_particle_mass_flow,Operating_mode_3,Operating_mode_1,Operating_mode_2,Receiver_3_HTF_mass_flow,PC_efficiency,TES_V_hot_tank_initial,PC_power,Receiver_1_outlet_temp,PC_outlet_temp,DNI,Receiver_2_inlet_temp,Tower_HTF_outlet_temp,Receiver_2_outlet_temp,Receiver_3_inlet_temp,PC_mass_flow,Receiver_3_outlet_temp,HX_1_particle_outlet_temp,HX_2_particle_outlet_temp,HX_3_particle_outlet_temp,Receiver_1_HTF_mass_flow,Receiver_1_particle_mass_flow,Receiver_2_HTF_mass_flow,Receiver_3_particle_mass_flow,TES_discharge_mass_flow,Tower_HTF_inlet_temp,TES_hot_tank_temp,TES_cold_tank_temp,TES_charge_mass_flow,PC_inlet_temp
C,kg/hr,-,-,-,kg/hr,-,-,MWe,C,C,W/m^2,C,C,C,C,kg/hr,C,C,C,C,kg/hr,kg/hr,kg/hr,kg/hr,kg/hr,C,C,C,kg/hr,C
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,545.369306,545.369306,545.369306,0,0,0,0,0,561.200000,706.913056,545.307083,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,289,0,0,0,0,0,0,545.307083,545.307083,545.307083,0,0,0,0,0,561.200000,705.948056,545.245104,0,700
561.200000,0,0,2,0,0,0,0,0,561.200000,537.500000,262,561.200000,561.200000,561.200000,561.200000,0,561.200000,545.245104,545.245104,545.245104,0,0,0,0,0,561.200000,704.987083,545.183333,0,700
562.417309,3450501.404444,11,2,32,2332538.951111,0.131926,0.023453,29.509753,695.555625,533.640781,860,560.380156,559.787969,695.555625,560.293611,908.641541,695.555625,680.357075,680.443620,680.949245,3075332.266667,3590048.995556,2955792.071111,2722934.826667,907.939832,562.417309,709.475668,545.140781,2712.079170,697.266649
570.314757,4619459.697778,0,11,0,3685675.804444,0.446599,0.110903,100.189193,730,558.941076,888,560.584062,559.893333,730,560.088924,1311.089699,730,714.437014,714.932153,715.127778,4719922.915556,5509833.955556,3957196.231111,4302498.417778,1311.089699,570.314757,712.529167,546.482951,4008.831052,697.869861
572.737847,4930189.084444,0,11,0,4151601.777778,0.445613,0.233051,100.188498,730,562.810347,909,561.988403,561.564722,730,561.611944,1341.364148,730,714.494514,714.870972,714.918264,4828910.933333,5637622.897778,4222958.080000,4846882.702222,1341.364148,572.737847,713.065000,548.453125,4281.859793,698.422083
562.238403,3748077.795556,0,11,0,3301222.968889,0.443252,0.366901,99.910911,730,522.484063,712,562.948715,562.758160,730,562.684444,1027.564089,730,715.504375,715.768681,715.694931,3547212.515556,4141830.826667,3209988.551111,3854605.937778,1027.564089,562.238403,713.447917,547.170938,3262.365077,699.568681
560.397500,2439369.102222,0,11,0,2251518.151111,0.443320,0.468555,99.913602,730,522.442188,512,560.802951,560.592847,730,560.408090,1027.642232,730,716.367986,716.762847,716.578125,2448480.426667,2858668.942222,2089345.991111,2628709.831111,1027.642232,560.397500,713.685556,545.836944,2201.874331,699.529861
561.200000,700785.066667,0,12,0,715782.613333,0.443952,0.517951,100.187326,730,528.264688,207,557.000521,556.751146,730,556.395347,1065.526677,730,718.836389,719.441597,719.085833,807179.022222,942318.222222,600284.444444,835620.053333,1065.526677,561.200000,713.691667,545.075521,688.534281,699.360139
561.200000,1054113.920000,0,12,0,1360375.893333,0.443830,0.490593,100.187240,730,528.356042,357,557.354271,557.435972,730,556.523507,1065.532760,730,717.721250,718.552014,717.639583,1312909.368889,1532639.288889,902988.800000,1588049.777778,1065.532760,561.200000,713.785903,544.400243,1159.667516,699.429722
0,0,0,23,0,0,0.492401,0.486453,100.026068,0,529.045069,0,0,0,0,0,966.706489,0,544.400243,544.400243,544.400243,0,0,0,0,966.706489,561.200000,713.625417,544.101563,0,700.448542
0,0,0,23,0,0,0.493415,0.430961,100.026562,0,528.945000,0,0,0,0,0,966.188879,0,544.101563,544.101563,544.101563,0,0,0,0,966.188879,561.200000,713.446875,543.840799,0,700.285486
