a_sf1,a_sf2,a_sf3,beam,e_ch_tes,eta,eta_field_tot,eta_field1,eta_field2,eta_field3,eta_therm,eta_rec_therm1,eta_rec_therm2,eta_rec_therm3,m_dot_rec,m_dot_rec1,m_dot_rec2,m_dot_rec3,p_cycle,p_out_net,q_ch_tes,q_dc_tes,q_dot_hx1,q_dot_hx2,q_dot_hx3,q_dot_rec_inc,q_dot_rec_inc1,q_dot_rec_inc2,q_dot_rec_inc3,t_hx_tes_out1,t_hx_tes_out2,t_hx_tes_out3,t_pc_in,t_pc_out,t_rec_in1,t_rec_in2,t_rec_in3,t_rec_out1,t_rec_out2,t_rec_out3,t_tes_cold,t_tes_hot,tdry
m2,m2,m2,W/m2,MWh,-,-,-,-,-,-,-,-,-,kg/s,kg/s,kg/s,kg/s,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,C,C,C,C,C,C,C,C,C,C,C,C,C,C
501149.546667,674559.928889,588235.840000,512,1621.500556,0.447416,0.527320,0.663506,0.428164,0.525004,0.714973,0.710477,0.711222,0.723219,757.247052,757.247658,577.423632,625.471710,100.841484,92.150694,418.139340,242.508125,137.821953,105.493576,114.146076,476.244196,170.248142,147.877040,158.119004,718.840486,719.389167,719.230069,704.131944,596.132361,603.810208,585.930556,585.381806,730,730,730,584.790486,716.421181,13
515372.053333,698414.080000,550150.826667,207,1529.023750,0.447062,0.503101,0.630607,0.375391,0.545783,0.526932,0.574659,0.486470,0.519667,192.755536,192.755690,152.213643,185.746598,99.964557,95.616007,107.808663,219.013906,33.414687,26.454544,32.212880,183.699804,67.274458,54.270938,62.154404,721.917917,722.270903,721.974306,703.394583,526.341701,571.200000,592.872569,592.519583,730,730,730,574.828681,716.530556,12
523367.751111,674844.017778,565761.671111,357,1515.607778,0.447215,0.441670,0.532465,0.308741,0.516236,0.628090,0.658649,0.576372,0.649247,366.238933,326.713605,232.866162,366.239226,100.324644,95.105417,199.339288,219.144844,60.109974,43.016667,67.286515,278.136462,99.487031,74.381578,104.267849,720.464792,721.053194,720.258333,703.696181,526.381076,571.200000,584.363889,583.775486,730,730,730,567.372708,716.719722,9
0,0,0,0,1320.121528,0.485954,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,103.070972,101.292569,0,213.724965,0,0,0,0,0,0,0,567.372708,567.372708,567.372708,703.969722,529.780833,0,0,0,0,0,0,562.707951,716.590417,7
0,0,0,0,1124.131111,0.486396,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,103.137335,101.358924,0,213.703837,0,0,0,0,0,0,0,562.707951,562.707951,562.707951,703.832431,529.663125,0,0,0,0,0,0,559.447396,716.441944,7
0,0,0,0,927.566181,0.486909,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,103.214384,101.435981,0,213.679410,0,0,0,0,0,0,0,559.447396,559.447396,559.447396,703.672917,529.526354,0,0,0,0,0,0,557.030694,716.267431,6
0,0,0,0,730.333056,0.487521,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,103.306250,101.527847,0,213.650469,0,0,0,0,0,0,0,557.030694,557.030694,557.030694,703.482708,529.363125,0,0,0,0,0,0,555.158854,716.055972,6
0,0,0,0,532.290313,0.488280,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,103.419939,101.641545,0,213.614896,0,0,0,0,0,0,0,555.158854,555.158854,555.158854,703.247153,529.160903,0,0,0,0,0,0,553.656562,715.787847,6
0,0,0,0,333.199132,0.489278,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,103.569332,101.790946,0,213.568576,0,0,0,0,0,0,0,553.656562,553.656562,553.656562,702.937292,528.894792,0,0,0,0,0,0,552.412361,715.420833,6
0,0,0,0,132.529783,0.490745,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,103.788524,102.010148,0,213.501493,0,0,0,0,0,0,0,552.412361,552.412361,552.412361,702.482222,528.503611,0,0,0,0,0,0,551.347743,714.836042,6
0,0,0,0,0,0.425782,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,50.003364,48.848898,0,118.838516,0,0,0,0,0,0,0,551.347743,551.347743,551.347743,704.385278,555.327604,0,0,0,0,0,0,552.020972,713.720764,6
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552.020972,552.020972,552.020972,700,537.500000,0,0,0,0,0,0,551.957847,712.085903,6
