q_sf_des,cycle_design_power,solar_multiple,h_tower,dni_design_point,receiver_height,receiver_tube_diam,riser_inner_diam,downcomer_inner_diam,hours_tes,dT_approach_charge_hx,dT_approach_ht_disch_hx,dT_approach_lt_disch_hx,Annual energy,Capacity factor,LCOE (real),PPA price (year 1),Annual gross cycle,Annual rec to particle,TOU 1 frac,TOU1 cap fac,TOU 2 frac,TOU2 cap fac,TOU 3 frac,TOU3 cap fac,TOU 4 frac,TOU4 cap fac,Cap fac weighted,Cap fac weighted MIN0,Site improvement,A_sf,N_hel_pre,q_sf_des_pre,total_q_rec_inc,Heliostats,Tower,Receiver,Storage,Power block,Contingency,Recirculator cost,Cycle efficiency,Design CR deltaP,Direct costs subtotal,Indirect costs subtotal,Net capital cost,NPV costs,OM lifetime total,Analysis period,Cost per capacity,Tower height,Charge HX duty,Discharge HX (hot) duty,Discharge HX (cold) duty,Charge HX UA,Discharge HX (hot) UA,Discharge HX (cold) UA,Charge HX effectiveness,Discharge HX (hot) effectiveness,Discharge HX (cold) effectiveness,Charge HX cost,Discharge (hot) HX cost,Discharge (cold) HX cost,Riser cost,Downcomer cost
713.0142561,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,600722599.5,91.75164631,4.804517837,5.778268233,637629906.1,1261844463,0.05890411,97.18330822,0.068721461,100.9703577,0.207534247,102.6395094,0.663926941,96.45902794,0.944852691,0.944852691,15143841.21,1514384.121,20817.50931,713.0142561,1517284.609,113578809.1,9087349.82,5018173.092,69028411.82,49827000,20615332.06,0,0.497220453,2.084645433,315120075.8,29640716.87,376232334.3,475708494.7,177860087.3,30,4612.770756,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,29326145.06,8740465.076,4490154.781,2381811.399,2429806.393
726.2518169,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,575453630.6,87.89217857,5.296207223,6.369597715,634097980,1207128120,0.05890411,84.92305396,0.068721461,102.0682237,0.207534247,101.9956106,0.663926941,97.22943947,0.93990805,0.93990805,15401581.65,1540158.165,21171.81144,726.2518169,1481682.016,115511862.3,13375101.59,6844707.007,76117693.83,49827000,21915136.97,0,0.510866054,2.029743451,334988522.3,31428877.05,399751832.5,502333833.2,183155708.6,30,4902.528071,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,33674620.4,10036499.62,5155954.098,4936363.615,5035834.438
712.1626046,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,540296921.7,82.52250225,5.011201279,6.026611898,614318532.2,1406431496,0.05890411,103.9004912,0.068721461,101.0249744,0.207534247,101.6297319,0.663926941,90.75130051,0.907528093,0.907528093,15127057.27,1512705.727,20794.43731,712.1626046,1670677.123,113452929.5,7936314.092,2844153.602,74383619.83,49827000,21770194.41,0,0.449862697,2.316025475,332772971.7,31229477.5,395269909.6,446263601.6,86747625.47,30,4870.216941,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,27312976.46,8140453.387,4181916.566,4835961.402,4933409.057
708.7285143,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,564638407.2,86.24031038,5.009404003,6.024732346,636349751,1141312555,0.05890411,86.10741399,0.068721461,102.4204143,0.207534247,102.5287124,0.663926941,96.98566051,0.943167867,0.943167867,15059136.56,1505913.656,20701.07028,708.7285143,1374021.365,112943524.2,12065980.73,6659275.554,53971600.87,49827000,19614465.67,0,0.542717052,1.917481377,299821118.1,28263810.67,358506981.9,466201429,193621740.8,30,4389.653919,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,24753021.26,7377475.539,3789959.318,5080555.654,5182932.037
696.7251587,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,565658327.5,86.39608838,5.543213934,6.666678781,625715630.2,1370540311,0.05890411,105.7362574,0.068721461,101.0016256,0.207534247,102.8215125,0.663926941,93.2487735,0.926007536,0.926007536,14818710.52,1481871.052,20370.56919,696.7251587,1597011.949,111140328.9,12140588.99,3488233.816,69491109.81,49827000,22402944.96,0,0.466369396,2.227221843,342445015.8,32099961.47,408735620.1,516812430.8,193238324.4,30,5011.272032,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,34141744.06,10175722.76,5227475.859,3940932.765,4020345.032
717.7038262,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,565146815.6,86.31796237,5.345545119,6.428990605,627385784,1363929398,0.05890411,106.6256644,0.068721461,101.3806168,0.207534247,102.6377162,0.663926941,93.00384035,0.927126138,0.927126138,15235827.58,1523582.758,20943.95811,717.7038262,1657704.745,114268706.8,7929169.872,6625262.907,76244837.21,49827000,21104128.79,0,0.452597049,2.300731645,322591682.9,30313161.51,385504492.1,497932427.6,201886121.3,30,4721.73513,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,30062832.35,8960029.889,4602949.693,2507290.259,2557813.73
712.3183106,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,569434019.5,86.97277045,5.211788492,6.268020071,635400435.2,1288084520,0.05890411,99.47594211,0.068721461,101.8978604,0.207534247,102.6910106,0.663926941,94.98172876,0.940151149,0.940151149,15130127.65,1513012.765,20798.658,712.3183106,1560176.971,113475957.4,12863474.9,6164013.386,66280574.41,49827000,21894349.35,0,0.47499858,2.184600019,334670768.6,31400279.22,398929197.3,489155924.6,160060723.7,30,4897.894018,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,27275926.86,8129410.998,4176243.866,6137438.684,6261111.922
713.0009621,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,567821650.6,86.72650454,5.338575722,6.42043361,635232261.2,1297789615,0.05890411,103.9523247,0.068721461,101.9913734,0.207534247,103.1676186,0.663926941,94.4753042,0.940649239,0.940649239,15143579.4,1514357.94,20817.14941,713.0009621,1586346.823,113576845.5,9428407.93,8938201.282,75794701.37,49827000,23132058.67,0,0.472858756,2.194933314,353590039.7,33103013.62,420804368.5,499636872.2,138267079.7,30,5173.808757,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,31117814.94,9274460.526,4764479.11,2725339.859,2780257.167
696.8549644,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,564747035.8,86.25690182,4.815804433,5.791753821,628225037.6,1316188588,0.05890411,102.9465447,0.068721461,101.4503809,0.207534247,102.5738724,0.663926941,93.16243528,0.928085789,0.928085789,14821335.3,1482133.53,20374.17735,696.8549644,1577201.617,111160014.8,10774865.37,5077402.162,60307442.08,49827000,20405278.26,0,0.462830756,2.24567706,311909253.4,29351742.85,371621441.7,448270261.3,135257896.4,30,4565.944786,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,31698378.42,9447493.662,4853369.754,6063355.895,6185536.319
716.2747677,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,580806748.7,88.70978956,5.394277427,6.487638699,624087481.5,1378348444,0.05890411,106.2055909,0.068721461,101.1555147,0.207534247,102.4381326,0.663926941,92.164257,0.922451769,0.922451769,15207874.49,1520787.449,20905.53248,716.2747677,1667071.785,114059058.7,10637429.43,3640011.932,71562970.43,49827000,21448076.62,0,0.446520308,2.335319705,327849171.1,30786335.45,392127853.3,516395035.5,223888891.2,30,4798.40925,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,27754009.71,8271900.454,4249443.599,3074590.784,3136545.717
