type,power,tht,az,zen,sunid,eta1,eta2,eta3,a1,a2,a3
1,828,245,104.9787,63.4725,19,0.5644,0.6567,0.4423,433188,367787,555911
1,828,245,131.4383,41.7413,20,0.6147,0.6612,0.5489,447162,411705,498019
1,828,245,180.000005,31.1691,21,0.631,0.6203,0.6198,448493,453056,455337
1,828,245,228.4937,41.7875,22,0.6064,0.5457,0.662,447067,496023,413796
1,828,245,254.9035,63.5441,23,0.5621,0.4346,0.671,436420,553629,366837
1,828,245,110.3156,67.3367,24,0.5568,0.6509,0.4386,434804,367977,554105
1,828,245,136.6854,46.7518,25,0.6163,0.6585,0.5487,443170,413416,500301
1,828,245,179.96573,37.3717,26,0.6364,0.6244,0.6221,448018,454102,454767
1,828,245,223.2577,46.8026,27,0.6106,0.5488,0.6641,445926,495453,415507
1,828,245,249.5732,67.415,28,0.5604,0.4285,0.6628,434424,553439,369023
1,828,245,115.8588,71.7842,29,0.5432,0.6188,0.4249,432903,372540,551443
1,828,245,141.5371,52.5042,30,0.6272,0.6572,0.5503,442504,414937,499445
1,828,245,179.97203,44.2045,31,0.6377,0.6224,0.6237,444881,453816,458189
1,828,245,218.4204,52.5555,32,0.6223,0.551,0.6636,442980,496593,417313
1,828,245,244.0448,71.8635,33,0.5478,0.4148,0.6331,431858,551158,373871
1,828,245,121.0339,76.3037,34,0.5002,0.5511,0.3946,432428,382141,542317
1,828,245,145.6153,58.3232,35,0.6242,0.6611,0.553,441554,415507,499825
1,828,245,180.000005,50.9155,36,0.6452,0.6209,0.6258,444596,455052,457239
1,828,245,214.3497,58.3627,37,0.6282,0.5492,0.6659,441078,497639,418169
1,828,245,238.8858,76.3673,38,0.5073,0.3893,0.5665,429386,541272,386229
1,828,245,126.541,81.4167,39,0.3734,0.3888,0.3145,435470,409328,512088
1,828,245,149.5643,64.8729,40,0.6204,0.6431,0.5424,440603,417028,499255
1,828,245,180.000005,58.3033,41,0.6451,0.6199,0.6177,442409,456288,458189
1,828,245,210.4317,64.8717,42,0.6227,0.5431,0.6538,440128,496213,420545
1,828,245,233.4556,81.4148,43,0.3802,0.3086,0.3955,432333,512468,412085
1,66.8,60,70.425,76.8492,0,0.4113,0.551,0.3161,34827,25321,45435
1,66.8,60,85.3915,52.8545,1,0.55,0.6535,0.4627,35044,29038,41500
1,66.8,60,105.5788,28.4391,2,0.6039,0.6543,0.5554,35362,32165,38055
1,66.8,60,180.000005,11.4294,3,0.6154,0.6235,0.623,35580,34920,35083
