66.8,334,850,,,,,,,,,,,,,,,,,
218.42,52.56,0.7725,0.496,0.6672,29128,44968,32504,0.7417,0.4747,0.6521,148950,235300,166650,0.6764,0.4492,0.6249,415656,643752,453888
244.04,71.86,0.6451,0.3297,0.6752,27624,53472,25504,0.667,0.311,0.6726,121800,266200,118950,0.6459,0.3184,0.6402,356616,746928,358416
121.03,76.3,0.5534,0.5853,0.3057,28320,25872,52408,0.584,0.5938,0.2837,128850,122900,273900,0.5841,0.5792,0.2953,359208,359856,757152
145.62,58.32,0.7731,0.6578,0.477,28296,32248,46056,0.7284,0.6465,0.4593,146200,164600,240100,0.68,0.6201,0.4354,405144,450000,658152
180,50.92,0.784,0.5786,0.5754,29136,38568,38896,0.7371,0.5735,0.5664,153050,198200,199650,0.6844,0.5328,0.5305,415512,548136,549648
214.35,58.36,0.7778,0.4729,0.651,28304,45704,32592,0.7464,0.4581,0.6394,144650,239500,166750,0.6848,0.4346,0.6151,404136,654984,454176
238.89,76.37,0.5553,0.2993,0.5906,28448,52360,25792,0.5914,0.2834,0.6111,125500,266200,118550,0.5936,0.2917,0.5885,353088,746928,355536
126.54,81.42,0.3328,0.4111,0.2386,33656,26192,46752,0.377,0.4226,0.2382,157450,136350,257100,0.4282,0.4318,0.2493,395928,391608,725760
149.56,64.87,0.7621,0.6279,0.4512,27424,32376,46800,0.7355,0.6196,0.4369,141350,165150,244400,0.6827,0.5993,0.4161,391608,451728,669960
180,58.3,0.7827,0.5585,0.5553,28408,38936,39256,0.7412,0.5521,0.5522,149250,200250,201400,0.6897,0.5153,0.5159,404136,554472,554688
210.43,64.87,0.7634,0.4481,0.6269,27456,46432,32712,0.742,0.4341,0.6176,140000,243800,167100,0.6879,0.4142,0.6004,390960,666792,455544
233.46,81.41,0.3354,0.2387,0.4217,33952,46616,26032,0.3821,0.2327,0.4319,157050,259250,134600,0.4323,0.2459,0.4427,397224,727776,388296
